app/out/app.elf:10000140 00000250 b fp.13566
app/out/app.elf:10000390 00000238 b fs.13565
app/out/app.elf:100005c8 00000001 b consolePrint
app/out/app.elf:100005cc 0000000a b uartBuff
app/out/app.elf:100005d7 00000001 b contFalling.13286
app/out/app.elf:100005d8 00000001 b contRising.13287
app/out/app.elf:100005d9 00000001 b flagFalling.13284
app/out/app.elf:100005da 00000001 b flagRising.13285
app/out/app.elf:1a000c44 0000000a t ld_word
app/out/app.elf:1a000c4e 00000016 t ld_dword
app/out/app.elf:1a000c64 000000a8 t ld_qword
app/out/app.elf:1a000d0c 00000008 t st_word
app/out/app.elf:1a000d14 00000014 t st_dword
app/out/app.elf:1a000d28 00000026 t st_qword
app/out/app.elf:1a000d4e 00000012 t mem_cpy
app/out/app.elf:1a000d60 0000000a t mem_set
app/out/app.elf:1a000d6a 0000001e t mem_cmp
app/out/app.elf:1a000d88 00000010 t chk_chr
app/out/app.elf:1a000d98 00000004 t dbc_1st
app/out/app.elf:1a000d9c 000000c0 t tchar2uni
app/out/app.elf:1a000e5c 00000018 t clst2sect
app/out/app.elf:1a000e74 00000026 t ld_clust
app/out/app.elf:1a000e9a 00000026 t st_clust
app/out/app.elf:1a000ec0 00000088 t pick_lfn
app/out/app.elf:1a000f48 00000078 t put_lfn
app/out/app.elf:1a000fc0 000000b0 t gen_numname
app/out/app.elf:1a001070 0000001c t sum_sfn
app/out/app.elf:1a00108c 00000030 t xdir_sum
app/out/app.elf:1a0010bc 0000002e t init_alloc_info
app/out/app.elf:1a0010ec 000000b0 t get_ldnumber
app/out/app.elf:1a00119c 00000048 t validate
app/out/app.elf:1a0011e4 00000050 t sync_window
app/out/app.elf:1a001234 00000034 t move_window
app/out/app.elf:1a001268 00000084 t check_fs
app/out/app.elf:1a0012ec 000004b4 t find_volume
app/out/app.elf:1a0017a0 00000086 t find_bitmap
app/out/app.elf:1a001826 00000078 t change_bitmap
app/out/app.elf:1a00189e 0000011e t put_fat
app/out/app.elf:1a0019bc 00000030 t fill_last_frag
app/out/app.elf:1a0019ec 00000032 t fill_first_frag
app/out/app.elf:1a001a1e 00000172 t get_fat
app/out/app.elf:1a001b90 000000b4 t dir_sdi
app/out/app.elf:1a001c44 000001cc t create_chain
app/out/app.elf:1a001e10 0000013e t remove_chain
app/out/app.elf:1a001f4e 00000052 t dir_clear
app/out/app.elf:1a001fa0 000000dc t dir_next
app/out/app.elf:1a00207c 00000100 t load_xdir
app/out/app.elf:1a00217c 0000003a t load_obj_xdir
app/out/app.elf:1a0021b6 000000ea t dir_read
app/out/app.elf:1a0022a0 0000006c t dir_alloc
app/out/app.elf:1a00230c 0000005e t store_xdir
app/out/app.elf:1a00236c 00000244 t create_name
app/out/app.elf:1a0025b0 00000036 t xname_sum
app/out/app.elf:1a0025e6 00000082 t create_xdir
app/out/app.elf:1a002668 000000a4 t cmp_lfn
app/out/app.elf:1a00270c 0000015c t dir_find
app/out/app.elf:1a002868 000000b4 t follow_path
app/out/app.elf:1a00291c 00000208 t dir_register
app/out/app.elf:1a002b24 0000008c t sync_fs
app/out/app.elf:100005dc 00000260 b DirBuf
app/out/app.elf:1000083c 00000008 b FatFs
app/out/app.elf:10000844 00000002 b Fsid
app/out/app.elf:10000848 00000200 b LfnBuf
app/out/app.elf:1a0064c8 00000080 t ExCvt
app/out/app.elf:1a006548 0000000d t LfnOfs
app/out/app.elf:1a006558 00000008 t VolumeStr
app/out/app.elf:1a006594 000001f2 t cvt1.5491
app/out/app.elf:1a006788 000000bc t cvt2.5492
app/out/app.elf:1a006844 00000100 t uc850
app/out/app.elf:1a00335c 00000018 t newCardStatus
app/out/app.elf:1a003374 00000004 t chk_power
app/out/app.elf:1a003378 00000024 t SSPSend
app/out/app.elf:1a00339c 00000018 t xmit_spi
app/out/app.elf:1a0033d8 0000001c t rcvr_spi
app/out/app.elf:1a0033f4 00000024 t wait_ready
app/out/app.elf:1a003418 00000018 t deselect
app/out/app.elf:1a003430 00000024 t select_
app/out/app.elf:1a003454 00000084 t send_cmd
app/out/app.elf:1a0034d8 0000005c t xmit_datablock
app/out/app.elf:1a003534 00000060 t rcvr_datablock
app/out/app.elf:10000a48 00000001 b CardType
app/out/app.elf:10000a49 00000001 b Timer1
app/out/app.elf:10000a4a 00000001 b Timer2
app/out/app.elf:10000a4c 00000004 b g_statusUpdateCallback
app/out/app.elf:10000000 00000001 d g_cardStatus
app/out/app.elf:10000001 00000001 d g_diskStats
app/out/app.elf:10000004 00000004 d g_spiFastClock
app/out/app.elf:10000008 00000004 d g_spiSlowClock
app/out/app.elf:10000010 00000004 d ClockSpeed
app/out/app.elf:1a006b5c 00000048 t lpcUarts
app/out/app.elf:10000a50 00000001 b init.11437
app/out/app.elf:10000a54 00000004 b callBackFuncParams
app/out/app.elf:10000a58 00000008 b tickCounter
app/out/app.elf:10000a60 00000004 b tickHookFunction
app/out/app.elf:1a003f28 00000002 t errorOcurred
app/out/app.elf:1a003f2a 00000002 t doNothing
app/out/app.elf:10000018 00000040 d timer_dd
app/out/app.elf:1a004034 00000034 t gpioObtainPinInit
app/out/app.elf:10000a64 00000004 b g_hUsb
app/out/app.elf:1a004488 0000002e t lcdSendNibble
app/out/app.elf:1a0044b6 0000001c t lcdEnablePulse
app/out/app.elf:1a00464c 00000010 t clearInterrupt
app/out/app.elf:1a00465c 0000005c t serveInterrupt
app/out/app.elf:10000058 00000048 d ultrasonicSensors
app/out/app.elf:1a006ce0 00000003 t ultrasonicSensorsIrqMap
app/out/app.elf:1a0046d8 00000044 t Board_LED_Init
app/out/app.elf:1a00471c 00000040 t Board_TEC_Init
app/out/app.elf:1a00475c 00000040 t Board_GPIO_Init
app/out/app.elf:1a00479c 00000038 t Board_SPI_Init
app/out/app.elf:1a0047d4 00000024 t Board_I2C_Init
app/out/app.elf:1a0047f8 00000030 t Board_ADC_Init
app/out/app.elf:1a006ce8 00000008 t GpioButtons
app/out/app.elf:1a006cf0 0000000c t GpioLeds
app/out/app.elf:1a006cfc 00000012 t GpioPorts
app/out/app.elf:10000a68 00000004 b heap_end.11488
app/out/app.elf:1a006d14 00000004 t InitClkStates
app/out/app.elf:1a006d18 00000074 t pinmuxing
app/out/app.elf:1a00498c 0000002c t Chip_UART_GetIndex
app/out/app.elf:1a006d8c 00000008 t UART_BClock
app/out/app.elf:1a006d94 00000008 t UART_PClock
app/out/app.elf:1a004b34 000000a4 t pll_calc_divs
app/out/app.elf:1a004bd8 0000010c t pll_get_frac
app/out/app.elf:1a004ce4 0000004c t Chip_Clock_FindBaseClock
app/out/app.elf:1a004f58 00000022 t Chip_Clock_GetDivRate
app/out/app.elf:10000a6c 00000008 b audio_usb_pll_freq
app/out/app.elf:1a006da8 0000006c t periph_to_base
app/out/app.elf:1a0050f0 00000014 t Chip_ADC_GetClockIndex
app/out/app.elf:1a005104 00000032 t getClkDiv
app/out/app.elf:1a006e14 00000048 t InitClkStates
app/out/app.elf:1a005464 0000001a t SSP_Write2BFifo
app/out/app.elf:1a00547e 00000018 t SSP_Write1BFifo
